StoreNumber,Date,Weekday,Time,InstoreTraffic,StorefrontTraffic,WindowsConversion,Weather,Revenue,Transaction,Conversion,ATV,UPT,EfficientVisit,VisitDuration,per,RepeatCustomer,Temperature,WeekNumber,2FTraffic,2FConversion,normal_vacation,special_vacation,consistent_vacation
1010106,2017/2/7,Tuesday,0,288,4362,0.066,Cloudy,67681,39,0.135,1735,1.44,0.5,6.4,235.0034722,0.087,65,2,160,0.556,0,0,0
1010106,2017/2/8,Wednesday,0,338,4370,0.077,Cloudy,66016,42,0.124,1572,1.64,0.5,5.3,195.3136095,0.127,66,3,192,0.568,0,0,0
1010106,2017/2/9,Thursday,0,267,3791,0.07,Cloudy,43619,31,0.116,1407,1.65,0.583,16.2,163.3670412,0.059,52,4,189,0.708,0,0,0
1010106,2017/2/11,Saturday,0,777,7149,0.109,Cloudy,135351,82,0.106,1651,1.55,0.448,8.8,174.1969112,0.066,55,6,392,0.505,1,0,0
1010106,2017/2/12,Sunday,0,728,7219,0.101,Cloudy,101641,65,0.089,1564,1.51,0.606,9.1,139.6167582,0.093,59,7,355,0.488,1,0,0
1010106,2017/2/13,Monday,0,265,3671,0.072,Cloudy,34635,27,0.102,1283,1.33,0.5,9.5,130.6981132,0.08,63,1,141,0.532,0,0,0
1010106,2017/2/14,Tuesday,0,301,3946,0.076,Sunny,62951,35,0.116,1799,1.71,0.6,11.1,209.1395349,0.146,64,2,143,0.475,0,1,0
1010106,2017/2/15,Wednesday,0,263,3684,0.071,Sunny,48650,22,0.084,2211,1.77,0.545,9.9,184.9809886,0.196,72,3,145,0.551,0,0,0
1010106,2017/2/16,Thursday,0,248,3684,0.067,Sunny,34746,27,0.109,1287,1.22,0.35,10.8,140.1048387,0.181,73,4,163,0.657,0,0,0
1010106,2017/2/17,Friday,0,290,4390,0.066,Sunny,50124,34,0.117,1474,1.38,0.536,10.5,172.8413793,0.18,75,5,163,0.562,0,0,0
1010106,2017/2/18,Saturday,0,522,5633,0.093,Rain,74093,49,0.094,1512,1.49,0.528,10.7,141.940613,0.125,69,6,289,0.554,1,0,0
1010106,2017/2/19,Sunday,0,708,7543,0.094,Sunny,125669,68,0.096,1848,1.74,0.49,10.4,177.4985876,0.085,75,7,258,0.364,1,0,0
1010106,2017/2/20,Monday,0,205,3381,0.061,Cloudy,41892,25,0.122,1676,1.36,0.52,10.2,204.3512195,0.184,71,1,94,0.459,0,0,0
1010106,2017/2/21,Tuesday,0,217,3392,0.064,Breezy,43707,21,0.097,2081,1.76,0.423,10.8,201.4147465,0.202,68,2,131,0.604,0,0,0
1010106,2017/2/22,Wednesday,0,154,2258,0.068,Rain,22500,17,0.11,1324,1,0.556,13.7,146.1038961,0.219,69,3,102,0.662,0,0,0
1010106,2017/2/23,Thursday,0,212,3082,0.069,Cloudy,31290,21,0.099,1490,1.48,0.493,12.9,147.5943396,0.235,58,4,151,0.712,0,0,0
1010106,2017/2/24,Friday,0,121,2367,0.051,Rain,25630,16,0.132,1602,1.38,0.5,7.3,211.8181818,0.211,55,5,127,1.05,0,0,0
1010106,2017/2/25,Saturday,0,294,3632,0.081,Rain,62568,37,0.126,1691,1.51,0.538,8,212.8163265,0.043,58,6,181,0.616,1,0,1
1010106,2017/2/26,Sunday,0,613,5384,0.114,Rain,95402,62,0.101,1539,1.74,0.5,13.1,155.6313214,0.029,55,7,274,0.447,1,0,1
1010106,2017/2/27,Monday,0,712,6505,0.109,Cloudy,106749,63,0.088,1694,1.56,0.5,9.6,149.9283708,0.061,60,1,309,0.434,0,0,1
1010106,2017/2/28,Tuesday,0,567,5226,0.108,Rain,92154,57,0.101,1617,1.51,0.5,10.4,162.5291005,0.123,57,2,252,0.444,0,1,1
1010106,2017/3/1,Wednesday,0,185,3038,0.061,Cloudy,37925,24,0.13,1580,1.33,0.645,17.1,205,0.157,65,3,146,0.789,0,0,0
1010106,2017/3/2,Thursday,0,185,2859,0.065,Cloudy,30994,19,0.103,1631,1.47,0.557,17.2,167.5351351,0.223,58,4,120,0.649,0,0,0
1010106,2017/3/3,Friday,0,298,4211,0.071,Cloudy,49464,36,0.121,1374,1.36,0.504,15.2,165.9865772,0.196,66,5,123,0.413,0,0,0
1010106,2017/3/4,Saturday,0,632,7805,0.081,Cloudy,115204,65,0.103,1772,1.74,0.565,12.5,182.2848101,0.098,68,6,305,0.483,1,0,0
1010106,2017/3/5,Sunday,0,600,7990,0.075,Sunny,86079,47,0.078,1831,1.89,0.502,11.6,143.465,0.08,75,7,239,0.398,1,0,0
1010106,2017/3/6,Monday,0,142,2386,0.06,Rain,33536,18,0.127,1863,1.78,0.602,16.5,236.1690141,0.252,61,1,131,0.923,0,0,0
1010106,2017/3/7,Tuesday,0,126,1997,0.063,Cloudy,32268,25,0.198,1291,1.64,0.605,20.1,256.0952381,0.258,57,2,129,1.024,0,0,0
1010106,2017/3/8,Wednesday,0,159,2271,0.07,Cloudy,39940,26,0.164,1536,1.46,0.658,15.5,251.1949686,0.236,58,3,121,0.761,0,0,0
1010106,2017/3/9,Thursday,0,161,2423,0.066,Cloudy,47337,28,0.174,1691,1.64,0.521,16.2,294.0186335,0.252,61,4,142,0.882,0,0,0
1010106,2017/3/10,Friday,0,188,2586,0.073,Rain,50910,31,0.165,1642,1.71,0.586,16.6,270.7978723,0.24,64,5,171,0.91,0,0,0
1010106,2017/3/11,Saturday,0,670,9090,0.074,Rain,96322,54,0.081,1784,1.78,0.578,10.8,143.7641791,0.097,71,6,293,0.437,1,0,0
1010106,2017/3/12,Sunday,0,619,9004,0.069,Cloudy,102273,56,0.09,1826,1.71,0.487,13,165.2229402,0.121,75,7,328,0.53,1,0,0
1010106,2017/3/13,Monday,0,150,2272,0.066,Cloudy,28081,19,0.127,1478,1.63,0.629,17,187.2066667,0.288,62,1,110,0.733,0,0,0
1010106,2017/3/14,Tuesday,0,202,2848,0.071,Rain,54053,29,0.144,1864,1.72,0.396,16.1,267.5891089,0.267,57,2,175,0.866,0,1,0
1010106,2017/3/15,Wednesday,0,197,3520,0.056,Cloudy,31032,19,0.096,1633,1.68,0.603,13.8,157.5228426,0.242,62,3,163,0.827,0,0,0
